title,cluster,description,keywords
Focus - Holiday Hills,16,Neighborhood Assessment Report,"reports, assessments, neighborhood, construction, annual, work"
Policy And Procedure To Release An Easement,26,Policy And Procedure To Release An Easement,"policy, administrative, code, street, construction, master"
Focus - Here's Waldo,16,Neighborhood Assessment Report,"reports, assessments, neighborhood, construction, annual, work"
Focus - Hickman Mills South,16,Neighborhood Assessment Report,"reports, assessments, neighborhood, construction, annual, work"
"Kansas City Concrete Barrier, Type A and B",8,"Kansas City Concrete Barrier, Type A and B Master Public Works Standard Drawing","standards, drawing, work, public, work, standards"
Focus - Hyde Park,16,Neighborhood Assessment Report,"reports, assessments, neighborhood, construction, annual, work"
Focus - Independence Plaza,16,Neighborhood Assessment Report,"reports, assessments, neighborhood, construction, annual, work"
Junction Box Details,8,Junction Box Details Master Public Works Standard Drawing,"standards, drawing, work, public, work, standards"
Focus - Indian Mound,16,Neighborhood Assessment Report,"reports, assessments, neighborhood, construction, annual, work"
Junction Box Details (Metric),8,Junction Box Details (Metric) Master Public Works Standard Drawing,"standards, drawing, work, public, work, standards"
"Focus - Invanhoe, Mount Hope and Key Coalition",16,Neighborhood Assessment Report,"reports, assessments, neighborhood, construction, annual, work"
Grate Inlet Details,8,Grate Inlet Details Master Public Works Standard Drawing,"standards, drawing, work, public, work, standards"
Focus - Jazz Heritage and Forgotten Homes Area,16,Neighborhood Assessment Report,"reports, assessments, neighborhood, construction, annual, work"
Grate Inlet Details (Metric),8,Grate Inlet Details (Metric) Master Public Works Standard Drawing,"standards, drawing, work, public, work, standards"
Focus - Lea Manor- West Bannister,16,Neighborhood Assessment Report,"reports, assessments, neighborhood, construction, annual, work"
Field Inlet Details,8,Field Inlet Details Master Public Works Standard Drawing,"standards, drawing, work, public, work, standards"
Policy and Procedures Manual For Condemnation,11,"Pertains to City Funded Projects, but contains relevant information to Land Developpment Division on documents needed to accompany deeds to lands being dedicated for street purposes by separate document","information, standards, documents, city, master, required"
Focus - Downtown Central Business District and Quality Hill,16,Neighborhood Assessment Report,"reports, assessments, neighborhood, construction, annual, work"
Field Inlet Details (Metric),8,Field Inlet Details (Metric) Master Public Works Standard Drawing,"standards, drawing, work, public, work, standards"
Plan Presentation Criteria And Procedure,3,"Land Development Division Plan Presentation, Criteria, And Procedures Document","downgrade, lists, april, presentation, public, group"
"Focus - Western Hills, Ward Parkway and Valley View",16,Neighborhood Assessment Report,"reports, assessments, neighborhood, construction, annual, work"
"Driveway, Unimproved Streets",8,"Driveway, Unimproved Streets Master Public Works Standard Drawing","standards, drawing, work, public, work, standards"
Focus - Greenway Fields,16,Neighborhood Assessment Report,"reports, assessments, neighborhood, construction, annual, work"
NAVD 88 Datum,3,NAVD 88 Datum required by the City,"downgrade, lists, april, presentation, public, group"
"Driveway Entrances, Types III And VI",8,"Driveway Entrances, Types III And VI Master Public Works Standard Drawing","standards, drawing, work, public, work, standards"
Guidelines On Special MH Ring And Cover Requirements,3,Guidelines On Special MH Ring And Cover Requirements,"downgrade, lists, april, presentation, public, group"
"Driveway Entrances, Types I And II",8,"Driveway Entrances, Types I And II Master Public Works Standard Drawing","standards, drawing, work, public, work, standards"
Focus - Breen Hills,16,Neighborhood Assessment Report,"reports, assessments, neighborhood, construction, annual, work"
Guidelines For Guardrail,3,City Standard Requirements for when Guardrails are required on streets.,"downgrade, lists, april, presentation, public, group"
Driveway Design & Location,8,Driveway Design & Location Master Public Works Standard Drawing,"standards, drawing, work, public, work, standards"
Focus - Foxtown West and Foxtown East,16,Neighborhood Assessment Report,"reports, assessments, neighborhood, construction, annual, work"
Guidelines For Fencing Of Improved Open Channels,3,Guidelines For Fencing Of Improved Open Channels,"downgrade, lists, april, presentation, public, group"
"Developed Base Manhole, Precast Concrete, 4’ Or 5' Dia.",8,"Developed Base Manhole, Precast Concrete, 4’ Or 5' Dia. Master Public Works Standard Drawing","standards, drawing, work, public, work, standards"
Focus - Chaumiere,16,Neighborhood Assessment Report,"reports, assessments, neighborhood, construction, annual, work"
Curbs Driveway Sidewalk Resolution,3,"Resolution for Curb, Driveway, and Sidewalk details","downgrade, lists, april, presentation, public, group"
Curbs,8,Curbs Master Public Works Standard Drawing,"standards, drawing, work, public, work, standards"
Curb Inlet Resolution,3,Resolution for the Curb Inlets,"downgrade, lists, april, presentation, public, group"
Curb Inlet ( Precast Details),8,Curb Inlet (Precast Details) Master Public Works Standard Drawing,"standards, drawing, work, public, work, standards"
Curb Inlet - Type II,8,Curb Inlet - Type II Master Public Works Standard Drawing,"standards, drawing, work, public, work, standards"
Curb Inlet - Type 1,8,Curb Inlet - Type 1 Master Public Works Standard Drawing,"standards, drawing, work, public, work, standards"
Construction Site Signage,8,Construction Site Signage Master Public Works Standard Drawing,"standards, drawing, work, public, work, standards"
City Logo,8,City Logo Master Public Works Standard Drawing,"standards, drawing, work, public, work, standards"
Brick Curb Inlet,8,Brick Curb Inlet Master Public Works Standard Drawing,"standards, drawing, work, public, work, standards"
Erosion And Sediment Control Specifications,7,Erosion And Sediment Control Specifications,"job, job, specifically, management, assisted, office"
"Criteria For Condemnation Of Sidewalk, Driveways &amp; Curbs",3,"Criteria For Condemnation Of Sidewalk, Driveways &amp; Curbs","downgrade, lists, april, presentation, public, group"
Bike Rack,8,Bike Rack Master Public Works Standard Drawing,"standards, drawing, work, public, work, standards"
As Built Drawings For Sewers Built By Permit,24,As Built Drawings For Sewers Built By Permit,"permit, buildings, new, application, construction, required"
KCMAC 1999 A Notice Of Full Redemption 3-24-10,9,KCMAC 1999 A Notice Of Full Redemption 3-24-10,"notice, redemption, notice, defeasance, b, water"
KCMAC 2001 B-1 Notice Of Full Redemption 3-24-10,9,KCMAC 2001 B-1 Notice Of Full Redemption 3-24-10,"notice, redemption, notice, defeasance, b, water"
Chouteau 2009 C And D LOC Extension 3-4-10,3,Chouteau 2009 C And D LOC Extension 3-4-10,"downgrade, lists, april, presentation, public, group"
President Hotel 2009 B LOC Extension 3-4-10,3,President Hotel 2009 B LOC Extension 3-4-10,"downgrade, lists, april, presentation, public, group"
Fitch Withdraws Assured Guaranty Municipal Corp's Rating 3-4-10,3,Fitch Withdraws Assured Guaranty Municipal Corp's Rating 3-4-10,"downgrade, lists, april, presentation, public, group"
Fitch Withdraws Assured Guaranty's Rating 3-4-10,3,Fitch Withdraws Assured Guaranty's Rating 3-4-10,"downgrade, lists, april, presentation, public, group"
Fitch Ratings Downgrade 3-2-10,3,Fitch Ratings Downgrade 3-2-10,"downgrade, lists, april, presentation, public, group"
Sewer 2004 A Notice Of Full Redemption 11-22-13,9,Sewer 2004 A Notice Of Full Redemption 11-22-13,"notice, redemption, notice, defeasance, b, water"
Focus Implementation Achievements,6,Action steps recommended in the Focus plan that have already been carried out.,"plan, developer, focus, city, neighborhood, street"
Standard Agreements Master,11,Standard Agreements Master Document,"information, standards, documents, city, master, required"
Stream Buffer Regulations Master,3,Stream Buffer Regulations Master Document,"downgrade, lists, april, presentation, public, group"
Key Ordinances Master,11,Key Ordinances Master Document,"information, standards, documents, city, master, required"
Policies Master,26,Policies Master,"policy, administrative, code, street, construction, master"
Design Criteria Master,12,Design Criteria Master,"design, criteria, work, work, public, design"
Construction Specifications Master,3,Construction Specifications Master Document,"downgrade, lists, april, presentation, public, group"
Standard Drawings Master,8,Standard Drawings Master Page,"standards, drawing, work, public, work, standards"
Moody's Rating Downgrade 3-2-10,3,Moody's Rating Downgrade 3-2-10,"downgrade, lists, april, presentation, public, group"
East Village 2008 B Notice Of Trustee Resignation 3-2-10,9,East Village 2008 B Notice Of Trustee Resignation 3-2-10,"notice, redemption, notice, defeasance, b, water"
Midtown Redevelopment 2000 A 3-1-10,3,Midtown Redevelopment 2000 A 3-1-10,"downgrade, lists, april, presentation, public, group"
President 2009 B Notice Of Partial Redemption 3-1-10,9,President 2009 B Notice Of Partial Redemption 3-1-10,"notice, redemption, notice, defeasance, b, water"
Arena 2008 D Notice Of Partial Redemption 3-1-10,9,Arena 2008 D Notice Of Partial Redemption 3-1-10,"notice, redemption, notice, defeasance, b, water"
KC Live LOC Extention,3,KC Live LOC Extention,"downgrade, lists, april, presentation, public, group"
Chouteau 2009 D Notice Of Partial Redemption,9,Chouteau 2009 D Notice Of Partial Redemption,"notice, redemption, notice, defeasance, b, water"
Chouteau 2009 C Notice Of Partial Redemption,9,Chouteau 2009 C Notice Of Partial Redemption,"notice, redemption, notice, defeasance, b, water"
Berkshire Hathaway Downgrade To  AA+  By S&P,3,Berkshire Hathaway Downgrade To  AA+  By S&P,"downgrade, lists, april, presentation, public, group"
IB159 Land Development Division Application Form Part B,13,Land Development Division Application Form IB159 Part B,"form, application, plan, permit, developer, neighborhood"
Land Development Submittal Process Master,31,Land Development Submittal Process Master see Land Development Master,"process, master, developer, land, program, permit"
Berkshire Hathaway Downgrade To  AA+  By S&amp; P,3,Berkshire Hathaway Downgrade To  AA+  By S&amp; P,"downgrade, lists, april, presentation, public, group"
G. O. 2000 A Notice Of Full Redemption 12-30-09,9,G. O. 2000 A Notice Of Full Redemption 12-30-09,"notice, redemption, notice, defeasance, b, water"
Special Obligation 2009 A (909 Walnut) Notice Of Redemption 12-29-09,21,Special Obligation 2009 A (909 Walnut) Notice Of Redemption 12-29-09,"obligation, special, b, notice, downgrade, defeasance"
KC Live 2005 B Notive Of Partial Redemptin 11-1-09,3,KC Live 2005 B Notive Of Partial Redemptin 11-1-09,"downgrade, lists, april, presentation, public, group"
Assured Downgrade To AA- By Fitch 10-22-09,3,Assured Downgrade To AA- By Fitch 10-22-09,"downgrade, lists, april, presentation, public, group"
Fitch Downgrade Of FSA To AA 10-22-09,3,Fitch Downgrade Of FSA To AA 10-22-09,"downgrade, lists, april, presentation, public, group"
Moody's Downgrade Of Ambac To Caa2 8-7-09,3,Moody's Downgrade Of Ambac To Caa2 8-7-09,"downgrade, lists, april, presentation, public, group"
S&P Downgrade Of Ambac To CC 8-5-09,3,S&P Downgrade Of Ambac To CC 8-5-09,"downgrade, lists, april, presentation, public, group"
GO 2004 F Bondholder Questions 7-22-09,3,GO 2004 F Bondholder Questions 7-22-09,"downgrade, lists, april, presentation, public, group"
Assured Guaranty Acquisition Of FSA 7-22-09,3,Assured Guaranty Acquisition Of FSA 7-22-09,"downgrade, lists, april, presentation, public, group"
Fitch Rating Downgrade 7-10-09,3,Fitch Rating Downgrade 7-10-09,"downgrade, lists, april, presentation, public, group"
Bartle 2008 F Downgraded By Fitch 7-7-09,3,Bartle 2008 F Downgraded By Fitch 7-7-09,"downgrade, lists, april, presentation, public, group"
Land Development Master,31,Land Development Master is the Main Land Development Process Document,"process, master, developer, land, program, permit"
Ambac Downgrade To BBB By S&P 7-6-09,3,Ambac Downgrade To BBB By S&P 7-6-09,"downgrade, lists, april, presentation, public, group"
Downgrade Of NPFG To A By S&P 6-22-09,3,Downgrade Of NPFG To A By S&P 6-22-09,"downgrade, lists, april, presentation, public, group"
PFC Debt Service Reserve Fund 6-22-09,3,PFC Debt Service Reserve Fund 6-22-09,"downgrade, lists, april, presentation, public, group"
Downgrade Of US Bank N. A. By S&P 6-22-09,3,Downgrade Of US Bank N. A. By S&P 6-22-09,"downgrade, lists, april, presentation, public, group"
Fitch Downgrade Of FSA To  AA+  5-19-09,3,Fitch Downgrade Of FSA To  AA+  5-19-09,"downgrade, lists, april, presentation, public, group"
PIEA Kemper 2001 & Wyandotte 2005 Bondholder Question 5-20-09,3,PIEA Kemper 2001 & Wyandotte 2005 Bondholder Question 5-20-09,"downgrade, lists, april, presentation, public, group"
Downgrade Of Bartle 2008 F By S & P 5-15-09,3,Downgrade Of Bartle 2008 F By S & P 5-15-09,"downgrade, lists, april, presentation, public, group"
Fitch Downgrade Of Dexia To A+ 5-15-09,3,Fitch Downgrade Of Dexia To A+ 5-15-09,"downgrade, lists, april, presentation, public, group"
Downgrade Of Bartle 2008 E By S & P 5-15-09,3,Downgrade Of Bartle 2008 E By S & P 5-15-09,"downgrade, lists, april, presentation, public, group"
Fitch Downgrade Of Assured Guaranty To AA 5-15-09,3,Fitch Downgrade Of Assured Guaranty To AA 5-15-09,"downgrade, lists, april, presentation, public, group"
S&P Withdraws FGIC Rating 5-5-09,3,S&P Withdraws FGIC Rating 5-5-09,"downgrade, lists, april, presentation, public, group"
Syncora Guarantee Downgrade To R By S & P 5-1-09,3,Syncora Guarantee Downgrade To R By S & P 5-1-09,"downgrade, lists, april, presentation, public, group"
Quitclaim To The City,11,City Standard Quitclaim To The City see separate Easement Instructions and Information Document,"information, standards, documents, city, master, required"
Quitclaim From The City,11,City Standard Quitclaim From The City see separate Easement Instructions and Information Document,"information, standards, documents, city, master, required"
Public Use Access Trail Easement,11,City Standard Public Use Access Trail Easement see separate Easement Instructions and Information Document,"information, standards, documents, city, master, required"
Access Easement,11,City Standard Access Easement see separate Easement Instructions and Information Document,"information, standards, documents, city, master, required"
Agreement For Noise Disclosure,11,City Standard Agreement For Noise Disclosure see separate Easement Instructions and Information Document,"information, standards, documents, city, master, required"
Aviation And Noise Easement,11,City Standard Aviation And Noise Easement see separate Easement Instructions and Information Document,"information, standards, documents, city, master, required"
Conveyance Of Surface Drainage Easement,11,City Standard Conveyance Of Surface Drainage Easement see separate Easement Instructions and Information Document,"information, standards, documents, city, master, required"
Conveyance Of Easement For BMPs,11,City Standard Conveyance Of Easement For BMPs see separate Easement Instructions and Information Document,"information, standards, documents, city, master, required"
Conveyance Of Easement For Stream Buffers,11,City Standard Conveyance Of Easement For Stream Buffers see separate Easement Instructions and Information Document,"information, standards, documents, city, master, required"
Easement For Water Main And Appurtenances,11,City Standard Easement For Water Main And Appurtenances see separate Easement Instructions and Information Document,"information, standards, documents, city, master, required"
Temporary Easement For Cul- De- Sac,11,City Standard Temporary Easement For Cul- De- Sac see separate Easement Instructions and Information Document,"information, standards, documents, city, master, required"
Authorization For Entry Upon Real Estate,11,City Standard Authorization For Entry Upon Real Estate see separate Easement Instructions and Information Document,"information, standards, documents, city, master, required"
Conveyance Of Easement For Pedestrian Right-of-way,11,City Standard Conveyance Of Easement For Pedestrian Right-of-way see separate Easement Instructions and Information Document,"information, standards, documents, city, master, required"
Grading Consent,11,Standard Grading Consent see separate Easement Instructions and Information Document,"information, standards, documents, city, master, required"
Grading Easement,11,City Standard Grading Easement see separate Easement Instructions and Information Document,"information, standards, documents, city, master, required"
Retaining Wall Easement,11,City Standard Retaining Wall Easement see separate Easement Instructions and Information Document,"information, standards, documents, city, master, required"
Temporary Easement For Access,11,City Standard Temporary Easement for Access see separate Easement Instructions and Information Document,"information, standards, documents, city, master, required"
"KC Live IDA 2005 B, 2006 A & 2006 B Notice Of Redemption 4-29-11",9,"KC Live IDA 2005 B, 2006 A & 2006 B Notice Of Redemption 4-29-11","notice, redemption, notice, defeasance, b, water"
Earnings Tax Election Results 4-12-11,3,Earnings Tax Election Results 4-12-11,"downgrade, lists, april, presentation, public, group"
GO 2002 B Notice Of Redemption And Defeasance 3-29-11,9,GO 2002 B Notice Of Redemption And Defeasance 3-29-11,"notice, redemption, notice, defeasance, b, water"
GO 2002 B Notice Of Full Redemption 3-29-11),9,GO 2002 B Notice Of Full Redemption 3-29-11),"notice, redemption, notice, defeasance, b, water"
GO 2002 A Notice Of Defeasance 3-29-11,9,GO 2002 A Notice Of Defeasance 3-29-11,"notice, redemption, notice, defeasance, b, water"
GO 2002 A Notice Of Full Refunding 3-29-11,9,GO 2002 A Notice Of Full Refunding 3-29-11,"notice, redemption, notice, defeasance, b, water"
"KC Live 2005 B, 2006 A And 2006 B Notic Of LOC Extension 3-4-11",9,"KC Live 2005 B, 2006 A And 2006 B Notic Of LOC Extension 3-4-11","notice, redemption, notice, defeasance, b, water"
President 2009 B Notice Of LOC Extension 3-4-11,9,President 2009 B Notice Of LOC Extension 3-4-11,"notice, redemption, notice, defeasance, b, water"
Chouteau 2009 C And D Notice Of LOC Extension 3-4-11,9,Chouteau 2009 C And D Notice Of LOC Extension 3-4-11,"notice, redemption, notice, defeasance, b, water"
Arena 2008 D Notice Of Redemption 3-1-11,9,Arena 2008 D Notice Of Redemption 3-1-11,"notice, redemption, notice, defeasance, b, water"
Fitch Downgrade 2-24-11,3,Fitch Downgrade 2-24-11,"downgrade, lists, april, presentation, public, group"
Airport Senior And Subordinate Lien Bonds Downgraded By Moody's 2-16-11,27,Airport Senior And Subordinate Lien Bonds Downgraded By Moody's 2-16-11,"bonds, notice, defeasance, water, master, downgrade"
Chouteau 2009 D Notice Of Redemption 2-15-11,9,Chouteau 2009 D Notice Of Redemption 2-15-11,"notice, redemption, notice, defeasance, b, water"
Chouteau 2009 C Notice Of Redemption 2-15-11,9,Chouteau 2009 C Notice Of Redemption 2-15-11,"notice, redemption, notice, defeasance, b, water"
2009 B President Notice Of Partial Redemption 1-27-11,9,2009 B President Notice Of Partial Redemption 1-27-11,"notice, redemption, notice, defeasance, b, water"
G. O. 2003 F Notice Of Redemption 1-27-11,9,G. O. 2003 F Notice Of Redemption 1-27-11,"notice, redemption, notice, defeasance, b, water"
S&P Downgrades National Public Finance Guarantee Corp 12-28-10,3,S&P Downgrades National Public Finance Guarantee Corp 12-28-10,"downgrade, lists, april, presentation, public, group"
909 Walnut Notice Of Redemption 12-27-10,9,909 Walnut Notice Of Redemption 12-27-10,"notice, redemption, notice, defeasance, b, water"
Water 2000 A Notice Of Total Redemption 12-16-10,9,Water 2000 A Notice Of Total Redemption 12-16-10,"notice, redemption, notice, defeasance, b, water"
S&P Withdraws Ambac's Rating 12-8-10,3,S&P Withdraws Ambac's Rating 12-8-10,"downgrade, lists, april, presentation, public, group"
Moody's Downgrade Of U. S. Bank National Association 12-2-10,3,Moody's Downgrade Of U. S. Bank National Association 12-2-10,"downgrade, lists, april, presentation, public, group"
MCI Overhaul Base Noitce Of Full Refunding 11-19-12,3,MCI Overhaul Base Noitce Of Full Refunding 11-19-12,"downgrade, lists, april, presentation, public, group"
MCI Overhaul Base No Longer Obligated Person 11-18-10,21,MCI Overhaul Base No Longer Obligated Person 11-18-10,"obligation, special, b, notice, downgrade, defeasance"
Earnings Tax Voluntary Notice 11-3-10,9,Earnings Tax Voluntary Notice 11-3-10,"notice, redemption, notice, defeasance, b, water"
2006 B Notice Of Partial Redemption 11-1-10,9,2006 B Notice Of Partial Redemption 11-1-10,"notice, redemption, notice, defeasance, b, water"
2006 A Notice Of Partial Redemption 11-1-10,9,2006 A Notice Of Partial Redemption 11-1-10,"notice, redemption, notice, defeasance, b, water"
2005 B Notice Of Partial Redemption 11-1-10,9,2005 B Notice Of Partial Redemption 11-1-10,"notice, redemption, notice, defeasance, b, water"
S&P Downgrade Of Assured Guaranty Corp 10-29-10,3,S&P Downgrade Of Assured Guaranty Corp 10-29-10,"downgrade, lists, april, presentation, public, group"
"Special Obligation 2009 B, 2009 C & D Change Of Remarketing Agent 10-21-10",21,"Special Obligation 2009 B, 2009 C & D Change Of Remarketing Agent 10-21-10","obligation, special, b, notice, downgrade, defeasance"
Senior And Subordinate Lien Airport Bonds Downgraded By Fitch 8-9-10,27,Senior And Subordinate Lien Airport Bonds Downgraded By Fitch 8-9-10,"bonds, notice, defeasance, water, master, downgrade"
TIF Blue Parkway Revenue Bonds Assigned A Rating by Moody's 7-29-10,27,TIF Blue Parkway Revenue Bonds Assigned A Rating by Moody's 7-29-10,"bonds, notice, defeasance, water, master, downgrade"
Special Obligation 2008 B Change In Trustee 6-9-10,21,Special Obligation 2008 B Change In Trustee 6-9-10,"obligation, special, b, notice, downgrade, defeasance"
Moody's Recalibration Notice 6-2-10,9,Moody's Recalibration Notice 6-2-10,"notice, redemption, notice, defeasance, b, water"
Fitch Recalibration Notice 6-2-10,9,Fitch Recalibration Notice 6-2-10,"notice, redemption, notice, defeasance, b, water"
PIEA ( Kemper Garage) Series 2001 Notice Of Partial Redemption 6-1-10,9,PIEA ( Kemper Garage) Series 2001 Notice Of Partial Redemption 6-1-10,"notice, redemption, notice, defeasance, b, water"
"Correction To A Material Event Notice For IDA 2005 A, 2006 A & 2006 B 5-17-10",9,"Correction To A Material Event Notice For IDA 2005 A, 2006 A & 2006 B 5-17-10","notice, redemption, notice, defeasance, b, water"
Water & Sewer Recalibration Notice 5-17-10,9,Water & Sewer Recalibration Notice 5-17-10,"notice, redemption, notice, defeasance, b, water"
KCMAC 2001 A Notice Of Redemption And Defeasance Of Refunded Bonds 3-29-12,9,KCMAC 2001 A Notice Of Redemption And Defeasance Of Refunded Bonds 3-29-12,"notice, redemption, notice, defeasance, b, water"
PIEA 2001 Notice Of Redemption And Defeasance Of Refunded Bonds 3-29-12,9,PIEA 2001 Notice Of Redemption And Defeasance Of Refunded Bonds 3-29-12,"notice, redemption, notice, defeasance, b, water"
Special Obligation 2010 B Notice Of Defeasance 3-29-12,21,Special Obligation 2010 B Notice Of Defeasance 3-29-12,"obligation, special, b, notice, downgrade, defeasance"
"Special Oblgation 2010 B Notice Of Defeasance Of $2,205,000 Principal 3-29-12",21,"Special Oblgation 2010 B Notice Of Defeasance Of $2,205,000 Principal 3-29-12","obligation, special, b, notice, downgrade, defeasance"
2004 F Notice Of Change Of Paying Agent And Defeasance Of Refunded Bonds 3-22-12,27,2004 F Notice Of Change Of Paying Agent And Defeasance Of Refunded Bonds 3-22-12,"bonds, notice, defeasance, water, master, downgrade"
2003 F Notice Of Change Of Paying Agent And Defeasance Of Refunded Bonds 3-22-12,27,2003 F Notice Of Change Of Paying Agent And Defeasance Of Refunded Bonds 3-22-12,"bonds, notice, defeasance, water, master, downgrade"
General Obligation 2004 F Notice Of Defeasance 3-22-12,21,General Obligation 2004 F Notice Of Defeasance 3-22-12,"obligation, special, b, notice, downgrade, defeasance"
General Obligation 2003 F Notice Of Defeasance 3-22-12,21,General Obligation 2003 F Notice Of Defeasance 3-22-12,"obligation, special, b, notice, downgrade, defeasance"
Special Obligation 2009 A (909 Walnut) LOC Extension 3-9-12,21,Special Obligation 2009 A (909 Walnut) LOC Extension 3-9-12,"obligation, special, b, notice, downgrade, defeasance"
Sewer 2001 A No Longer Obligated Person 3-6-12,21,Sewer 2001 A No Longer Obligated Person 3-6-12,"obligation, special, b, notice, downgrade, defeasance"
Special Obligation 2008 D Notice Of Mandatory Sinking Fund Redemption 3-1-12,21,Special Obligation 2008 D Notice Of Mandatory Sinking Fund Redemption 3-1-12,"obligation, special, b, notice, downgrade, defeasance"
PIEA 2001 Notice Of Full Redemption 2-29-12,9,PIEA 2001 Notice Of Full Redemption 2-29-12,"notice, redemption, notice, defeasance, b, water"
KCMAC 2001 A Notice Of Full Redemption 2-24-12,9,KCMAC 2001 A Notice Of Full Redemption 2-24-12,"notice, redemption, notice, defeasance, b, water"
Chouteau 2009 D Notice Of Partial Redemption 1-30-12,9,Chouteau 2009 D Notice Of Partial Redemption 1-30-12,"notice, redemption, notice, defeasance, b, water"
Chouteau 2009 C Notice Of Partial Redemption 1-30-12,9,Chouteau 2009 C Notice Of Partial Redemption 1-30-12,"notice, redemption, notice, defeasance, b, water"
President 2009 B Notice Of Partial Redemption 1-30-12,9,President 2009 B Notice Of Partial Redemption 1-30-12,"notice, redemption, notice, defeasance, b, water"
Moody's Downgrade Of NPFGC To Baa2 1-17-12,3,Moody's Downgrade Of NPFGC To Baa2 1-17-12,"downgrade, lists, april, presentation, public, group"
Sewer 2002 D-2 No Longer Obligated Person 1-9-12,21,Sewer 2002 D-2 No Longer Obligated Person 1-9-12,"obligation, special, b, notice, downgrade, defeasance"
Special Obligation 2009 A (909 Walnut) Notice Of Redemption 1-5-12,21,Special Obligation 2009 A (909 Walnut) Notice Of Redemption 1-5-12,"obligation, special, b, notice, downgrade, defeasance"
Special Obligation 2009 C&D ( Chouteau) Downgrade 1-4-12,21,Special Obligation 2009 C&D ( Chouteau) Downgrade 1-4-12,"obligation, special, b, notice, downgrade, defeasance"
Special Obligation 2009 B ( President) Downgrade 1-4-12,21,Special Obligation 2009 B ( President) Downgrade 1-4-12,"obligation, special, b, notice, downgrade, defeasance"
Special Oblgation 2009 A (909 Walnut) Downgrade 1-4-12,21,Special Oblgation 2009 A (909 Walnut) Downgrade 1-4-12,"obligation, special, b, notice, downgrade, defeasance"
General Obligation 2002 A Notice Of Full Redemption 12-30-11,9,General Obligation 2002 A Notice Of Full Redemption 12-30-11,"notice, redemption, notice, defeasance, b, water"
U. S. Bank Downgrade To A  By S&P 12-16-11,3,U. S. Bank Downgrade To A  By S&P 12-16-11,"downgrade, lists, april, presentation, public, group"
S&P Downgrades JP Morgan - Chouteau 2009 C&D 12-8-11,3,S&P Downgrades JP Morgan - Chouteau 2009 C&D 12-8-11,"downgrade, lists, april, presentation, public, group"
S&P Downgrades JP Morgan - President 2009 B 12-8-11,3,S&P Downgrades JP Morgan - President 2009 B 12-8-11,"downgrade, lists, april, presentation, public, group"
S&P Downgrades Assured Guaranty To AA- 12-2-11,3,S&P Downgrades Assured Guaranty To AA- 12-2-11,"downgrade, lists, april, presentation, public, group"
KCMAC 1998 B No Longer Obligated Person 12-1-11,21,KCMAC 1998 B No Longer Obligated Person 12-1-11,"obligation, special, b, notice, downgrade, defeasance"
Water 2002 C Notice Of Redemption 11-1-11,9,Water 2002 C Notice Of Redemption 11-1-11,"notice, redemption, notice, defeasance, b, water"
Sewer 2002 D-1 Bonds Notice Of Redemption And Defeasance,9,Sewer 2002 D-1 Bonds Notice Of Redemption And Defeasance,"notice, redemption, notice, defeasance, b, water"
Sewer 2002 D-1 Notice Of Redemption 11-17-11,9,Sewer 2002 D-1 Notice Of Redemption 11-17-11,"notice, redemption, notice, defeasance, b, water"
Sumitomo Mitsui Banking Corporation Downgraded By Moody's 9-1-11,3,Sumitomo Mitsui Banking Corporation Downgraded By Moody's 9-1-11,"downgrade, lists, april, presentation, public, group"
Bartle 2008 E & F Notice of Substitution of Letter of Credit Provider,9,Bartle 2008 E & F Notice of Substitution of Letter of Credit Provider,"notice, redemption, notice, defeasance, b, water"
Updated Bartle 2008 F Notice Of Mandatory Tender 7-22-11,9,Updated Bartle 2008 F Notice Of Mandatory Tender 7-22-11,"notice, redemption, notice, defeasance, b, water"
Updated Bartle 2008 E Notice Of Mandatory Tender 7-22-11,9,Updated Bartle 2008 E Notice Of Mandatory Tender 7-22-11,"notice, redemption, notice, defeasance, b, water"
Moody's Downgrade Of Dexia To A3 7-12-11,3,Moody's Downgrade Of Dexia To A3 7-12-11,"downgrade, lists, april, presentation, public, group"
Bartle 2008 F Notice Of Mandatory Tender 7-1-11,9,Bartle 2008 F Notice Of Mandatory Tender 7-1-11,"notice, redemption, notice, defeasance, b, water"
Bartle 2008 E Notice Of Mandatory Tender 7-1-11,9,Bartle 2008 E Notice Of Mandatory Tender 7-1-11,"notice, redemption, notice, defeasance, b, water"
"IDA 2005 B, 2006 A And 2006 B Defeasance Notice 6-1-11",9,"IDA 2005 B, 2006 A And 2006 B Defeasance Notice 6-1-11","notice, redemption, notice, defeasance, b, water"
Moody's Withdraws Ambac's Rating 5-6-11,3,Moody's Withdraws Ambac's Rating 5-6-11,"downgrade, lists, april, presentation, public, group"
National Public Finance Guarantee Corp. Downgraded To BB By Standard And Poor's 3-11-13,3,National Public Finance Guarantee Corp. Downgraded To BB By Standard And Poor's 3-11-13,"downgrade, lists, april, presentation, public, group"
General Obligation 2003 F Notice Of Redemption 12-31-12,9,General Obligation 2003 F Notice Of Redemption 12-31-12,"notice, redemption, notice, defeasance, b, water"
Airport Proposed Refunding Notice 4-2-13,15,Airport Proposed Refunding Notice 4-2-13,"proposals, sign, traffic, review, change, april"
Water 2013 A Adoption Of Supplemental Ordinance Voluntary Notice 3-22-13,3,Water 2013 A Adoption Of Supplemental Ordinance Voluntary Notice 3-22-13,"downgrade, lists, april, presentation, public, group"
