title,cluster,description,keywords
2012 Census - Population By Ownership And Length Of Residence (Ward),5,"All Census information is as of April 1, 2012.  Ages of residents are effective April 1, 2012.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).","data, information, centre, facilities, census, released"
2012 Census - Population By Length of Residence (Neighbourhood),0,"All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2012 Census - Dwelling Unit By Ownership (Ward),5,"All Census information is as of April 1, 2012.  Ages of residents are effective April 1, 2012.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).","data, information, centre, facilities, census, released"
2012 Census - Population By School Residency (Neighbourhood),0,"All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2012 Census - Population By Citizenship (Neighbourhood),0,"All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2012 Census - Dwelling Units By Structure Type And Ownership (Neighbourhood),5,"All Census information is as of April 1, 2012.  Ages of residents are effective April 1, 2012.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).","data, information, centre, facilities, census, released"
2012 Census - Dwelling Units By Structure Type And Length Of Residence (Neighbourhood),5,"All Census information is as of April 1, 2012.  Ages of residents are effective April 1, 2012.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).","data, information, centre, facilities, census, released"
2012 Census - Dwelling Units By Structure Type And Occupancy (Neighbourhood),0,"All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2012 Census - Population By Ownership And Length Of Residence (Neighbourhood),5,"All Census information is as of April 1, 2012.  Ages of residents are effective April 1, 2012.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).","data, information, centre, facilities, census, released"
2012 Census - Previous Residence If Less Than One Year (Neighbourhood),0,"All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2012 Census - Population By Mode Of Transportation (Neighbourhood),5,"All Census information is as of April 1, 2012.  Ages of residents are effective April 1, 2012.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).","data, information, centre, facilities, census, released"
2012 Census - Population By Marital Status (Neighbourhood),0,"All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2012 Census - Population By Employment Status (Neighbourhood),0,"All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2012 Census - Dwelling Unit By  Ownership (Neighbourhood),5,"All Census information is as of April 1, 2012.  Ages of residents are effective April 1, 2012.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).","data, information, centre, facilities, census, released"
2012 Census - Population By School Residency (Citywide),0,"All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2012 Census - Population by Citizenship (Citywide),0,"All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2012 Census - Population By Mode Of Transportation (Citywide),0,"All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2012 Census - Previous Residence If Less Than One Year (Citywide),0,"All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2012 Census - Population By Employment Status (Citywide),0,"All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2012 Census - Population By Marital Status (Citywide),0,"All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2012 Census - Dwelling Unit Status (Citywide),0,"All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2012 Census - Dwelling Unit By Structure Type (Citywide),0,"All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2012 Census - Dwelling Unit By Ownership (Citywide),5,"All Census information is as of April 1, 2012.  Ages of residents are effective April 1, 2012.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).","data, information, centre, facilities, census, released"
2012 Census - Population By Structure Type (Citywide),0,"All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2012 Census - Dwelling Units By Structure Type And Ownership (Citywide),5,"All Census information is as of April 1, 2012.  Ages of residents are effective April 1, 2012.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).","data, information, centre, facilities, census, released"
2012 Census - Dwelling Units By Structure Type And Occupancy (Citywide),0,"All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2012 Census - Population By School Residency (Ward),0,"All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2012 Census - Population By Citizenship (Ward),0,"All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2012 Census - Population By Mode Of Transportation (Ward),0,"All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2012 Census - Previous Residence If Less Than One Year (Ward),0,"All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2012 Census - Population By Length Of Residence (Ward),0,"All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2012 Census - Population By Employment Status (Ward),0,"All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2012 Census - Population By Marital Status (Ward),0,"All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2012 Census - Population By Structure Type (Ward),0,"All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2012 Census - Dwelling Units By Structure Type And Ownership (Ward),5,"All Census information is as of April 1, 2012.  Ages of residents are effective April 1, 2012.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).","data, information, centre, facilities, census, released"
2012 Census - Dwelling Units By Structure Type And Occupancy (Ward),0,"All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2012 Census - Population By Single Year Of Age And Gender (Citywide),5,"All Census information is as of April 1, 2012.  Ages of residents are effective April 1, 2012.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).","data, information, centre, facilities, census, released"
2012 Census - Population By Single Year Of Age And Gender (Ward),5,"All Census information is as of April 1, 2012.  Ages of residents are effective April 1, 2012.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).","data, information, centre, facilities, census, released"
City of Edmonton - Land Use,4,To visually display the current state of land use in the city. The code 9999 refers to parcels that the City has not yet designated. They are almost always in new subdivisions. A detail description of these codes can be found at: https://docs.google.com/a/edmonton.ca/file/d/0B2-9njwn6euHNnZBaWp4NjdpbWc/edit,"edmonton, city, developer, 's, data, dataset"
2010 Graffiti Audit,7,"In 2010, Capital City Clean Up initiated a Graffiti Vandalism Audit to assess the amount of graffiti vandalism found in the neighbourhoods in Edmonton with the highest reported incidences of graffiti.  A follow-up audit was completed in 2011 to determine if there were significant changes to the amount of graffiti found.  This data set is result of the 2010 Graffiti Vandalism Audit.","measures, graffiti, rainfall, performance, performance, perceptions"
Cadastral Grid 1000 - Map,4,A map view of the Cadastral Grid for the City of Edmonton and area at 1000 meters spacing.,"edmonton, city, developer, 's, data, dataset"
City of Edmonton - Corporate Boundary,4,Outline of City of Edmonton's corporate boundary line,"edmonton, city, developer, 's, data, dataset"
Licensed Pets by Breed and Forward Sortation Area (FSA),1,List of various Animal (Cats or Dogs) Breeds by Forward Sortation Area (First 3 characters of the Postal Code),"list, edmonton, schools, fields, city, fields"
Front Yards In Bloom Summary,4,"Outlines the progression of Front Yards in Bloom since starting in 1999. Front Yards in Bloom (FYinB) is supported by the City of Edmonton, Edmonton Horticultural Society and postal workers.
Data prior to 2007 is estimated.","edmonton, city, developer, 's, data, dataset"
Community in Bloom - Past Results,4,Results given to Edmonton by the Communities in Bloom national program.,"edmonton, city, developer, 's, data, dataset"
Edmonton In Bloom Awards,4,Results of the annual Edmonton in Bloom Awards.,"edmonton, city, developer, 's, data, dataset"
2012 Budget Consultation Survey - Taxes And Balancing Budget,12,"Given the following options to deal with increased costs to pay for City services, which would you support to balance the budget the most and which would you support the least?     

COLUMNS
The most   1
The least    2

  -  SURVEY at http://www.edmonton.ca/budgetconsultation","service, http, //www.edmonton.ca/budgetconsultation, survey, survey, http"
2012 Budget Consultation Survey -  Household Spending,12,"This portion of the survey, identifies roughly how much the respondent's household monthly spending goes to the different areas:

0.	Groceries 
1.	Housing costs 
2.	Utilities, TV, phone 
3.	Municipal Property taxes 
4.	Income taxes 
5.	Leisure activities 
6.	Personal insurance and pension 
7.	Clothing 
8.	Transportation  

NOTE: 
D1 to B11 - Demographic information. 
B5_0 to B5_8 - Various Household spending (Percent)

  -  SURVEY at http://www.edmonton.ca/budgetconsultation","service, http, //www.edmonton.ca/budgetconsultation, survey, survey, http"
2012 Budget Consultation Survey - Perception Of Taxes,12,"Identify the respondent's perception of what their current share of total tax dollars goes between the three levels of government (including income taxes and property taxes)

D1 to B11 - Demographic information. 
B3_0 to B3_2 - percent (what one thinks is the current share ) 
B4_0 to B4_2 - percent (what one thinks should be the ideal amount)

  -  SURVEY at http://www.edmonton.ca/budgetconsultation","service, http, //www.edmonton.ca/budgetconsultation, survey, survey, http"
2012 Budget Consultation Survey - Satisfaction With City Services,12,"Data on overall satisfaction with City services; satisfaction with individual services; recommendations for Edmonton as a place to live, work and visit.      

D1 to B11 - Demographic information.  
B1  - Overall satisfaction with City services.
B2_0 to B2_2 - Recommending Edmonton.
B8_0 to B8_13 - Satisfaction with each service area.     

Indicate your level of satisfaction with the way in which the various services are currently being delivered by the city.

RESPONSE for B1 to B2_2 and B8_0 to B8_13
1. Very Satisfied
2. Moderately satisfied
3. Moderately dissatisfied
4. Very dissatisfied
5. Not sure
6. Do not use this service


  -  SURVEY at http://www.edmonton.ca/budgetconsultation","service, http, //www.edmonton.ca/budgetconsultation, survey, survey, http"
2012 Budget Consultation Survey - City Goals And Outcomes,12,"Over the past few years, the City has worked with thousands of Edmontonians to set a long-term vision for the City in 2040. Edmontonians also helped create 10-year goals for the city to move towards the vision.  From that input, City Council embedded the goals a strategic plan (www.edmonton.ca/StrategicPlan) to guide all decisions. City Council has created outcomes or “objectives” to achieve those goals.

Please indicate which of the TEN following objectives the City of Edmonton is seeking to accomplish are most important to you.

D1 to B11 - Demographic information. 
B6_1 to B6_24 - Various City Goals. Note: 1-important; 0-not important.
B7a_B7h - text comments about additional objectives to add to additional City goals


  -  SURVEY at http://www.edmonton.ca/budgetconsultation","service, http, //www.edmonton.ca/budgetconsultation, survey, survey, http"
2009 Census - Population By Structure Type (Ward),3,"All Census information is as of April 1, 2009.
Ward Reports are based on the 6-Ward system, which existed in the City of Edmonton until October, 2010.
No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city-, ward- and neighbourhood-level only.
The designation of “No Response” includes households from which no census data could be collected or only partial data was available.
Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information can not be obtained (i.e. information is not available or can not be released by the facility administration).
“Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, centre, facilities, information, structure, individuals"
2009 Census - Dwelling Unit By Structure Type And Ownership (Neighbourhood),3,"All Census information is as of April 1, 2009.
No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city-, ward- and neighbourhood-level only.
In order to further protect the privacy of individuals, neighbourhood data is not reported for neighbourhoods with populations between 1 and 49 residents.
The designation of “No Response” includes households from which no census data could be collected or only partial data was available.
Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information can not be obtained (i.e. information is not available or can not be released by the facility administration).
“Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, centre, facilities, information, structure, individuals"
2009 Census - Population By Single Year Of Age And Gender (Neighbourhood),3,"All Census information is as of April 1, 2009.
Ages of residents are effective April 1, 2009.
No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city-, ward- and neighbourhood-level only.
In order to further protect the privacy of individuals, neighbourhood data is not reported for neighbourhoods with populations between 1 and 49 residents.
The designation of “No Response” includes households from which no census data could be collected or only partial data was available.
Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information can not be obtained (i.e. information is not available or can not be released by the facility administration).","data, centre, facilities, information, structure, individuals"
2009 Census - Population By Structure Type (Neighbourhood),3,"All Census information is as of April 1, 2009.
No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city-, ward- and neighbourhood-level only.
In order to further protect the privacy of individuals, neighbourhood data is not reported for neighbourhoods with populations between 1 and 49 residents.
The designation of “No Response” includes households from which no census data could be collected or only partial data was available.
Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information can not be obtained (i.e. information is not available or can not be released by the facility administration).
“Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, centre, facilities, information, structure, individuals"
2009 Census - Dwelling Unit By Structure Type And Occupancy (Neighbourhood),3,"All Census information is as of April 1, 2009.
No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city-, ward- and neighbourhood-level only.
In order to further protect the privacy of individuals, neighbourhood data is not reported for neighbourhoods with populations between 1 and 49 residents.
The designation of “No Response” includes households from which no census data could be collected or only partial data was available.
Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information can not be obtained (i.e. information is not available or can not be released by the facility administration).
“Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.)
An Unoccupied site is one that was vacant (i.e. no one was living in the unit on April 1), had no structure, was under construction, or was no longer in use (structure existed, but was no longer used as a residence).","data, centre, facilities, information, structure, individuals"
2009 Census - Population By Single Year Of Age And Gender (Ward),3,"All Census information is as of April 1, 2009.
Ages of residents are effective April 1, 2009.
Ward Reports are based on the 6-Ward system, which existed in the City of Edmonton until October, 2010.
No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city-, ward- and neighbourhood-level only.
The designation of “No Response” includes households from which no census data could be collected or only partial data was available.
Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information can not be obtained (i.e. information is not available or can not be released by the facility administration).","data, centre, facilities, information, structure, individuals"
